,,1 star (base),2 stars,3 stars
,Building 3,414000,1240000,2070000
,Building 4,533000,1780000,3550000
Level 30,Building 1,324000,713000,1300000
,Building 2,389000,1040000,1940000
,Building 3,454000,1360000,2270000
,Building 4,583000,1940000,3890000
Level 31,Building 1,348000,766000,1390000
,Building 2,418000,1110000,2090000
,Building 3,487000,1460000,2440000
,Building 4,626000,2090000,4180000
Level 32,Building 1,376000,827000,1500000
,Building 2,451000,1200000,2260000
,Building 3,526000,1580000,2630000
,Building 4,677000,2260000,4510000
Level 33,Building 1,404000,889000,1620000
,Building 2,485000,1290000,2420000
,Building 3,566000,1700000,2830000
,Building 4,727000,2420000,4850000
Level 34,Building 1,436000,959000,1740000
,Building 2,523000,1400000,2620000
,Building 3,610000,1830000,3050000
,Building 4,785000,2620000,5230000
Level 35,Building 1,470000,1030000,1880000
,Building 2,564000,1500000,2820000
,Building 3,658000,1970000,3290000
,Building 4,846000,2820000,5640000
Level 36,Building 1,506000,1110000,2020000
,Building 2,607000,1620000,3040000
,Building 3,708000,2130000,3540000
,Building 4,911000,3040000,6070000
Level 37,Building 1,546000,1200000,2180000
,Building 2,655000,1750000,3280000
,Building 3,764000,2290000,3820000
,Building 4,983000,3280000,6550000
Level 38,Building 1,588000,1290000,2350000
,Building 2,706000,1880000,3530000
,Building 3,823000,2470000,4120000
,Building 4,1060000,3530000,7060000
Level 39,Building 1,634000,1390000,2540000
,Building 2,761000,2030000,3800000
,Building 3,888000,2660000,4440000
,Building 4,1140000,3800000,7610000
Level 40,Building 1,682000,1500000,2730000
,Building 2,818000,2180000,4090000
,Building 3,955000,2860000,4770000
,Building 4,1230000,4090000,8180000
Level 41,Building 1,734000,1610000,2940000
,Building 2,881000,2350000,4400000
,Building 3,1030000,3080000,5140000
,Building 4,1320000,4400000,8810000
Level 42,Building 1,792000,1740000,3170000
,Building 2,950000,2530000,4750000
,Building 3,1110000,3330000,5540000
,Building 4,1430000,4750000,9500000
Level 43,Building 1,852000,1870000,3410000
,Building 2,1020000,2730000,5110000
,Building 3,1190000,3580000,5960000
,Building 4,1530000,5110000,10200000
Level 44,Building 1,918000,2020000,3670000
,Building 2,1100000,2940000,5510000
,Building 3,1290000,3860000,6430000
,Building 4,1650000,5510000,11000000
Level 45,Building 1,990000,2180000,3960000
,Building 2,1190000,3170000,5940000
,Building 3,1390000,4160000,6930000
,Building 4,1780000,5940000,11900000
Level 46,Building 1,1070000,2350000,4260000
,Building 2,1280000,3410000,6400000
,Building 3,1490000,4480000,7460000
,Building 4,1920000,6400000,12800000
Level 47,Building 1,1150000,2530000,4600000
,Building 2,1380000,3680000,6900000
,Building 3,1610000,4830000,8050000
,Building 4,2070000,6900000,13800000
Level 48,Building 1,1240000,2720000,4950000
,Building 2,1490000,3960000,7430000
,Building 3,1730000,5200000,8670000
,Building 4,2230000,7430000,14900000
Level 49,Building 1,1330000,2930000,5340000
,Building 2,1600000,4270000,8000000
,Building 3,1870000,5600000,9340000
,Building 4,2400000,8000000,16000000
Level 50,Building 1,1440000,3160000,5740000
,Building 2,1720000,4600000,8620000
,Building 3,2010000,6030000,10100000
,Building 4,2580000,8620000,17200000
Level 51,Building 1,1530000,3360000,6100000
,Building 2,1830000,4880000,9160000
,Building 3,2140000,6410000,10700000
,Building 4,2750000,9160000,18300000
Level 52,Building 1,1620000,3570000,6490000
,Building 2,1950000,5190000,9730000
,Building 3,2270000,6810000,11400000
,Building 4,2920000,9730000,19500000
Level 53,Building 1,1720000,3790000,6900000
,Building 2,2070000,5520000,10300000
,Building 3,2410000,7240000,12100000
,Building 4,3100000,10300000,20700000
Level 54,Building 1,1830000,4030000,7330000
,Building 2,2200000,5860000,11000000
,Building 3,2560000,7690000,12800000
,Building 4,3300000,11000000,22000000
Level 55,Building 1,1950000,4280000,7780000
,Building 2,2340000,6230000,11700000
,Building 3,2720000,8170000,13600000
,Building 4,3500000,11700000,23400000
Level 56,Building 1,2060000,4530000,8240000
,Building 2,2470000,6590000,12400000
,Building 3,2880000,8650000,14400000
,Building 4,3710000,12400000,24700000
Level 57,Building 1,2200000,4840000,8800000
,Building 2,2640000,7040000,13200000
,Building 3,3080000,9240000,15400000
,Building 4,3960000,13200000,26400000
Level 58,Building 1,2340000,5150000,9360000
,Building 2,2810000,7490000,14000000
,Building 3,3280000,9830000,16400000
,Building 4,4210000,14000000,28100000
Level 59,Building 1,2480000,5460000,9920000
,Building 2,2980000,7940000,14900000
,Building 3,3470000,10400000,17400000
,Building 4,4460000,14900000,29800000
Level 60,Building 1,2640000,5810000,10600000
,Building 2,3170000,8450000,15800000
,Building 3,3700000,11100000,18500000
,Building 4,4750000,15800000,31700000
Level 61,Building 1,2800000,6160000,11200000
,Building 2,3360000,8960000,16800000
,Building 3,3920000,11800000,19600000
,Building 4,5040000,16800000,33600000
Level 62,Building 1,2980000,6560000,11900000
,Building 2,3580000,9540000,17900000
,Building 3,4170000,12500000,20900000
,Building 4,5360000,17900000,35800000
Level 63,Building 1,3160000,6950000,12600000
,Building 2,3790000,10100000,19000000
,Building 3,4420000,13300000,22100000
,Building 4,5690000,19000000,37900000
Level 64,Building 1,3360000,7390000,13400000
,Building 2,4030000,10800000,20200000
,Building 3,4700000,14100000,23500000
,Building 4,6050000,20200000,40300000
Level 65,Building 1,3580000,7880000,14300000
,Building 2,4300000,11500000,21500000
,Building 3,5010000,15000000,25100000
,Building 4,6440000,21500000,43000000
Level 66,Building 1,3800000,8360000,15200000
,Building 2,4560000,12200000,22800000
,Building 3,5320000,16000000,26600000
,Building 4,6840000,22800000,45600000
Level 67,Building 1,4040000,8890000,16200000
,Building 2,4850000,12900000,24200000
,Building 3,5660000,17000000,28300000
,Building 4,7270000,24200000,48500000
Level 68,Building 1,4300000,9460000,17200000
,Building 2,5160000,13800000,25800000
,Building 3,6020000,18100000,30100000
,Building 4,7740000,25800000,51600000
Level 69,Building 1,4560000,10000000,18200000
,Building 2,5470000,14600000,27400000
,Building 3,6380000,19200000,31900000
,Building 4,8210000,27400000,54700000
Level 70,Building 1,4840000,10600000,19400000
,Building 2,5810000,15500000,29000000
,Building 3,6780000,20300000,33900000
,Building 4,8710000,29000000,58100000
Level 71,Building 1,5080000,11200000,20300000
,Building 2,6100000,16300000,30500000
,Building 3,7110000,21300000,35600000
,Building 4,9140000,30500000,61000000
Level 72,Building 1,5320000,11700000,21300000
,Building 2,6380000,17000000,31900000
,Building 3,7450000,22300000,37200000
,Building 4,9580000,31900000,63800000
Level 73,Building 1,5580000,12300000,22300000
,Building 2,6700000,17900000,33500000
,Building 3,7810000,23400000,39100000
,Building 4,10000000,33500000,67000000
Level 74,Building 1,5840000,12800000,23400000
,Building 2,7010000,18700000,35000000
,Building 3,8180000,24500000,40900000
,Building 4,10500000,35000000,70100000
Level 75,Building 1,6120000,13500000,24500000
,Building 2,7340000,19600000,36700000
,Building 3,8570000,25700000,42800000
,Building 4,11000000,36700000,73400000
Level 76,Building 1,6400000,14100000,25600000
,Building 2,7680000,20500000,38400000
,Building 3,8960000,26900000,44800000
,Building 4,11500000,38400000,76800000
Level 77,Building 1,6720000,14800000,26900000
,Building 2,8060000,21500000,40300000
,Building 3,9410000,28200000,47000000
,Building 4,12100000,40300000,80600000
Level 78,Building 1,7040000,15500000,28200000
,Building 2,8450000,22500000,42200000
,Building 3,9860000,29600000,49300000
,Building 4,12700000,42200000,84500000
Level 79,Building 1,7380000,16200000,29500000
,Building 2,8860000,23600000,44300000
,Building 3,10300000,31000000,51700000
,Building 4,13300000,44300000,88600000
Level 80,Building 1,7720000,17000000,30900000
,Building 2,9260000,24700000,46300000
,Building 3,10800000,32400000,54000000
,Building 4,13900000,46300000,92600000
Level 81,Building 1,8100000,17800000,32400000
,Building 2,9720000,25900000,48600000
,Building 3,11300000,34000000,56700000
,Building 4,14600000,48600000,97200000
Level 82,Building 1,8480000,18700000,33900000
,Building 2,10200000,27100000,50900000
,Building 3,11900000,35600000,59400000
,Building 4,15300000,50900000,102000000
Level 83,Building 1,8880000,19500000,35500000
,Building 2,10700000,28400000,53300000
,Building 3,12400000,37300000,62200000
,Building 4,16000000,53300000,107000000
Level 84,Building 1,9300000,20500000,37200000
,Building 2,11200000,29800000,55800000
,Building 3,13000000,39100000,65100000
,Building 4,16700000,55800000,112000000
Level 85,Building 1,9740000,21400000,39000000
,Building 2,11700000,31200000,58400000
,Building 3,13600000,40900000,68200000
,Building 4,17500000,58400000,117000000
Level 86,Building 1,10200000,22500000,40900000
,Building 2,12300000,32700000,61300000
,Building 3,14300000,42900000,71500000
,Building 4,18400000,61300000,123000000
Level 87,Building 1,10700000,23500000,42800000
,Building 2,12800000,34200000,64200000
,Building 3,15000000,44900000,74900000
,Building 4,19300000,64200000,128000000
Level 88,Building 1,11200000,24700000,44900000
,Building 2,13500000,35900000,67300000
,Building 3,15700000,47100000,78500000
,Building 4,20200000,67300000,135000000
Level 89,Building 1,11700000,25800000,47000000
,Building 2,14100000,37600000,70400000
,Building 3,16400000,49300000,82200000
,Building 4,21100000,70400000,141000000
Level 90,Building 1,12300000,27100000,49200000
,Building 2,14800000,39400000,73800000
,Building 3,17200000,51700000,86100000
,Building 4,22100000,73800000,148000000
Level 91,Building 1,12900000,28400000,51600000
,Building 2,15500000,41300000,77400000
,Building 3,18100000,54200000,90300000
,Building 4,23200000,77400000,155000000
Level 92,Building 1,13500000,29700000,54100000
,Building 2,16200000,43300000,81100000
,Building 3,18900000,56800000,94600000
,Building 4,24300000,81100000,162000000
Level 93,Building 1,14200000,31200000,56600000
,Building 2,17000000,45300000,85000000
,Building 3,19800000,59500000,99100000
,Building 4,25500000,85000000,170000000
Level 94,Building 1,14800000,32600000,59400000
,Building 2,17800000,47500000,89000000
,Building 3,20800000,62300000,104000000
,Building 4,26700000,89000000,178000000
Level 95,Building 1,15500000,34200000,62200000
,Building 2,18600000,49700000,93200000
,Building 3,21800000,65300000,109000000
,Building 4,28000000,93200000,186000000
Level 96,Building 1,16300000,35800000,65100000
,Building 2,19500000,52100000,97700000
,Building 3,22800000,68400000,114000000
,Building 4,29300000,97700000,195000000
Level 97,Building 1,17100000,37500000,68200000
,Building 2,20500000,54600000,102000000
,Building 3,23900000,71700000,119000000
,Building 4,30700000,102000000,205000000
Level 98,Building 1,17900000,39300000,71500000
,Building 2,21500000,57200000,107000000
,Building 3,25000000,75100000,125000000
,Building 4,32200000,107000000,215000000
Level 99,Building 1,18700000,41200000,74900000
,Building 2,22500000,59900000,112000000
,Building 3,26200000,78600000,131000000
,Building 4,33700000,112000000,225000000
Level 100,Building 1,19600000,43200000,78500000
,Building 2,23500000,62800000,118000000
,Building 3,27500000,82400000,137000000
,Building 4,35300000,118000000,235000000
